R.Shift,azeite_oliva,azeite_oliva1,azeite_oliva2,oleo_canola media,oleo_canola1,oleo_canola2,oleo_girassol media,oleo_girassol1,oleo_girassol2,oleo_maria media,oleo_maria1,oleo_maria2,oleo_milho media,oleo_milho1,oleo_milho2,oleo_soja media,oleo_soja1,oleo_soja2
534.893,-0.000842663,-0.000893488,-0.000791838,-0.000832582,-0.000826023,-0.000839141,-0.000924527,-0.001005366,-0.000843689,-0.000770718,-0.000764854,-0.000776583,-0.000928975,-0.000815829,-0.001042121,-0.000800323,-0.000851176,-0.00074947
536.884,-0.000752604,-0.000843971,-0.000661237,-0.000922307,-0.000927541,-0.000917074,-0.000942908,-0.000964506,-0.000921311,-0.000814467,-0.000881263,-0.00074767,-0.000946787,-0.000783212,-0.001110363,-0.000826457,-0.000887529,-0.000765385
538.874,-0.000723122,-0.000860926,-0.000585319,-0.000879307,-0.0008664,-0.000892214,-0.00093812,-0.000904163,-0.000972077,-0.000801891,-0.000823747,-0.000780035,-0.001010706,-0.000962169,-0.001059243,-0.000818798,-0.000879297,-0.000758299
540.863,-0.000755292,-0.000827953,-0.000682631,-0.000882761,-0.000890184,-0.000875338,-0.001017201,-0.000953473,-0.001080929,-0.000755867,-0.000823977,-0.000687757,-0.001003374,-0.000872071,-0.001134677,-0.000844854,-0.000865566,-0.000824143
542.852,-0.000781267,-0.000800348,-0.000762186,-0.000911705,-0.00094256,-0.000880849,-0.001014675,-0.000940389,-0.00108896,-0.000757827,-0.000814988,-0.000700665,-0.001019663,-0.000940206,-0.001099119,-0.000918119,-0.000921499,-0.000914739
544.839,-0.000728874,-0.00074187,-0.000715879,-0.000857029,-0.00085997,-0.000854088,-0.000991377,-0.000867868,-0.001114886,-0.000707524,-0.0007455,-0.000669549,-0.000986715,-0.000909957,-0.001063474,-0.000898006,-0.000881072,-0.000914941
546.825,-0.000878868,-0.000855474,-0.000902263,-0.000887314,-0.000930725,-0.000843904,-0.000977881,-0.000859851,-0.00109591,-0.000830666,-0.000857871,-0.000803461,-0.001051909,-0.001012757,-0.001091061,-0.00089416,-0.000810287,-0.000978032
548.811,-0.000904158,-0.000865926,-0.00094239,-0.000873681,-0.000904539,-0.000842824,-0.000944761,-0.000887275,-0.001002247,-0.000890013,-0.000831589,-0.000948437,-0.001026306,-0.00093493,-0.001117682,-0.000879883,-0.000816159,-0.000943607
550.796,-0.000994841,-0.000910417,-0.001079264,-0.000917099,-0.000924084,-0.000910114,-0.000910315,-0.000858138,-0.000962491,-0.000897995,-0.000858671,-0.000937318,-0.001005972,-0.000842672,-0.001169271,-0.000874015,-0.000793507,-0.000954522
552.78,-0.000996022,-0.000877527,-0.001114518,-0.000930191,-0.000876224,-0.000984159,-0.000899927,-0.000849173,-0.00095068,-0.000940395,-0.000916857,-0.000963932,-0.000947691,-0.000783767,-0.001111615,-0.000901694,-0.000833545,-0.000969842
554.763,-0.000984692,-0.000911026,-0.001058357,-0.00089296,-0.000823837,-0.000962084,-0.000917687,-0.000863026,-0.000972348,-0.000926871,-0.000969555,-0.000884186,-0.000944026,-0.000830429,-0.001057622,-0.000881889,-0.000810546,-0.000953232
556.745,-0.001034242,-0.000928726,-0.001139759,-0.000976737,-0.000892997,-0.001060476,-0.000975897,-0.000962314,-0.000989479,-0.000986913,-0.001087049,-0.000886776,-0.000938629,-0.000853879,-0.001023378,-0.000870289,-0.000816049,-0.000924529
558.726,-0.001030914,-0.001017219,-0.001044608,-0.000957456,-0.000910319,-0.001004593,-0.001027148,-0.000948489,-0.001105808,-0.000968806,-0.001079544,-0.000858067,-0.000875802,-0.00082466,-0.000926945,-0.000985364,-0.000997389,-0.000973339
560.707,-0.001032847,-0.001063181,-0.001002513,-0.000915688,-0.00085791,-0.000973466,-0.001096498,-0.001017486,-0.00117551,-0.000926878,-0.001024604,-0.000829152,-0.000893196,-0.000864307,-0.000922086,-0.00101113,-0.001056335,-0.000965925
562.686,-0.000948187,-0.001053187,-0.000843188,-0.000948712,-0.000984078,-0.000913345,-0.001124301,-0.00103722,-0.001211382,-0.000980013,-0.001092595,-0.000867431,-0.000936267,-0.00093654,-0.000935995,-0.001018983,-0.001086519,-0.000951447
564.665,-0.000961662,-0.00104562,-0.000877704,-0.000905596,-0.001023432,-0.000787759,-0.001066044,-0.000978831,-0.001153258,-0.000952826,-0.00100102,-0.000904632,-0.001042407,-0.00099204,-0.001092774,-0.000992704,-0.001137929,-0.000847478
566.643,-0.001042118,-0.001038541,-0.001045696,-0.000841593,-0.000925851,-0.000757335,-0.001022231,-0.000991152,-0.00105331,-0.000862279,-0.000892672,-0.000831886,-0.00110389,-0.001022147,-0.001185633,-0.000986862,-0.001194997,-0.000778727
568.62,-0.001034978,-0.001036269,-0.001033686,-0.000826546,-0.000889531,-0.00076356,-0.000958556,-0.000933344,-0.000983769,-0.000854595,-0.000851069,-0.000858121,-0.001049866,-0.000995344,-0.001104388,-0.000961376,-0.001130341,-0.00079241
570.596,-0.001013312,-0.001035115,-0.000991509,-0.000762214,-0.000862962,-0.000661465,-0.000903134,-0.000910881,-0.000895387,-0.000886847,-0.000889166,-0.000884528,-0.001039219,-0.00100229,-0.001076149,-0.000896613,-0.000978349,-0.000814876
572.571,-0.00099854,-0.000985255,-0.001011826,-0.000770078,-0.000839301,-0.000700855,-0.000838547,-0.000834945,-0.000842149,-0.000939658,-0.000924263,-0.000955053,-0.000913627,-0.000947522,-0.000879732,-0.00080298,-0.000857234,-0.000748726
574.545,-0.000882659,-0.000949357,-0.000815961,-0.000761953,-0.000813409,-0.000710496,-0.000814562,-0.000790571,-0.000838552,-0.000915869,-0.000886405,-0.000945333,-0.000809035,-0.000770508,-0.000847561,-0.000848335,-0.000925704,-0.000770966
576.519,-0.000896086,-0.000957667,-0.000834506,-0.000732176,-0.000678399,-0.000785952,-0.000837477,-0.000840035,-0.000834919,-0.000838228,-0.000790767,-0.000885689,-0.000790185,-0.000713603,-0.000866767,-0.000860025,-0.000881905,-0.000838144
